,hits,waste,timeout,prodRec,interest
30,660,15,0,22,0
30,660,6,0,22,0
30,660,15,0,22,0
30,660,13,0,22,0
30,660,11,0,22,0
30,660,10,0,22,0
30,660,7,0,22,0
30,660,13,0,22,0
30,660,4,0,22,0
30,660,15,0,22,0
30,660,8,0,22,0
30,660,19,0,22,0
30,660,11,0,22,0
30,660,10,0,22,0
30,660,11,0,22,0
30,660,11,0,22,0
30,660,14,0,22,0
30,660,4,0,22,0
30,660,7,0,22,0
30,660,11,0,22,0
30,660,8,0,22,0
30,660,14,0,22,0
30,660,11,0,22,0
30,660,9,0,22,0
30,660,7,0,22,0
30,660,3,0,22,0
30,660,17,0,22,0
30,660,20,0,22,0
30,660,14,0,22,0
30,660,6,0,22,0
30,660,12,0,22,0
30,660,12,0,22,0
30,660,5,0,22,0
30,660,7,0,22,0
30,660,4,0,22,0
30,660,7,0,22,0
30,660,13,0,22,0
30,660,11,0,22,0
30,660,12,0,22,0
30,660,9,0,22,0
30,660,10,0,22,0
30,660,11,0,22,0
30,660,3,0,22,0
30,660,7,0,22,0
30,660,6,0,22,0
30,660,6,0,22,0
30,660,13,0,22,0
30,660,8,0,22,0
30,660,11,0,22,0
30,660,9,0,22,0
30,660,5,0,22,0
30,660,9,0,22,0
30,660,11,0,22,0
30,660,6,0,22,0
30,660,6,0,22,0
30,660,12,0,22,0
30,660,15,0,22,0
30,660,19,0,22,0
30,660,8,0,22,0
30,660,8,0,22,0
30,660,12,0,22,0
30,660,18,0,22,0
30,660,16,0,22,0
30,660,8,0,22,0
30,660,10,0,22,0
30,660,14,0,22,0
30,660,9,0,22,0
30,660,16,0,22,0
30,660,11,0,22,0
30,660,10,0,22,0
30,660,11,0,22,0
30,660,20,0,22,0
30,660,15,0,22,0
30,660,15,0,22,0
30,660,13,0,22,0
30,660,11,0,22,0
30,660,12,0,22,0
30,660,15,0,22,0
30,660,10,0,22,0
30,660,19,0,22,0
30,660,4,0,22,0
30,660,12,0,22,0
30,660,7,0,22,0
30,660,24,0,22,0
30,660,22,0,22,0
30,660,11,0,22,0
30,660,8,0,22,0
30,660,18,0,22,0
30,660,3,0,22,0
30,660,10,0,22,0
30,660,8,0,22,0
30,660,10,0,22,0
30,660,9,0,22,0
30,660,11,0,22,0
30,660,13,0,22,0
30,660,15,0,22,0
30,660,17,0,22,0
30,660,3,0,22,0
30,660,4,0,22,0
30,660,10,0,22,0
30,660,6,0,22,0
30,660,10,0,22,0
30,660,10,0,22,0
30,660,10,0,22,0
30,660,9,0,22,0
30,660,7,0,22,0
30,660,15,0,22,0
30,660,10,0,22,0
30,660,9,0,22,0
30,660,11,0,22,0
30,660,12,0,22,0
30,660,8,0,22,0
30,660,5,0,22,0
30,660,11,0,22,0
30,660,13,0,22,0
30,660,8,0,22,0
30,660,3,0,22,0
30,660,12,0,22,0
30,660,10,0,22,0
30,660,6,0,22,0
30,660,9,0,22,0
30,660,8,0,22,0
30,660,11,0,22,0
30,660,7,0,22,0
30,660,10,0,22,0
30,660,20,0,22,0
30,660,5,0,22,0
30,660,14,0,22,0
30,660,6,0,22,0
30,660,12,0,22,0
30,660,4,0,22,0
30,660,10,0,22,0
30,660,13,0,22,0
30,657,6,0,22,0
30,660,14,0,22,0
30,660,9,0,22,0
30,660,6,0,22,0
30,660,4,0,22,0
30,660,15,0,22,0
30,660,10,0,22,0
30,660,17,0,22,0
30,660,10,0,22,0
30,660,5,0,22,0
30,660,4,0,22,0
30,660,17,0,22,0
30,660,7,0,22,0
30,660,8,0,22,0
30,660,5,0,22,0
30,660,2,0,22,0
30,660,20,0,22,0
30,660,12,0,22,0
30,660,5,0,22,0
30,660,14,0,22,0
30,660,6,0,22,0
30,660,12,0,22,0
30,660,19,0,22,0
30,660,11,0,22,0
30,660,18,0,22,0
30,660,16,0,22,0
30,660,26,0,22,0
30,660,13,0,22,0
30,660,9,0,22,0
30,660,8,0,22,0
30,660,11,0,22,0
30,660,11,0,22,0
30,660,5,0,22,0
30,660,6,0,22,0
30,660,7,0,22,0
30,660,14,0,22,0
30,660,11,0,22,0
30,660,4,0,22,0
30,660,12,0,22,0
30,660,7,0,22,0
30,660,21,0,22,0
30,660,12,0,22,0
30,660,5,0,22,0
30,660,8,0,22,0
30,660,27,0,22,0
30,660,22,0,22,0
30,660,17,0,22,0
30,660,9,0,22,0
30,660,10,0,22,0
30,660,14,0,22,0
30,660,12,0,22,0
30,660,6,0,22,0
30,660,12,0,22,0
30,660,15,0,22,0
30,660,11,0,22,0
30,660,7,0,22,0
30,660,6,0,22,0
30,660,22,0,22,0
30,660,6,0,22,0
30,660,10,0,22,0
30,660,14,0,22,0
30,660,8,0,22,0
30,660,19,0,22,0
30,660,9,0,22,0
30,660,14,0,22,0
30,660,4,0,22,0
30,660,10,0,22,0
