,C0,C2,C3,C4,C7,C8,C9,C11,C12,C14,C15,C16,C18,C20,C21,C23,C25,C29
Trondheim/audio,0.007346560000016211,0.00720528000001508,0.005933760000015553,0.006640160000010553,,0.00565120000001329,0.003955840000010369,0.008618080000015738,,,,0.005933760000015553,0.008618080000015738,,0.00565120000001329,0.00720528000001508,0.00720528000001508,
Trondheim/audio/01,0.007942800000002137,0.005938000000003996,0.006593200000001076,0.0037228799999979856,,0.004092239999998526,0.0005359999999967613,0.00942736000000366,,,,0.006593200000001076,0.00942736000000366,,0.004092239999998526,0.007942800000002137,0.007942800000002137,
Trondheim/audio/02,0.009160399999998958,0.007131599999997462,0.007810799999997897,0.005134160000000776,,0.0052858399999919925,0.0007026399999965349,0.010749119999999834,,,,0.007810799999997897,0.00916335999999518,,0.0052858399999919925,0.009160399999998958,0.009160399999998958,
Trondheim/audio/03,0.01062616000000105,0.008581679999998926,0.009226959999999451,0.0066224000000012495,,0.006735919999993456,0.0008528000000040947,0.01062616000000105,,,,0.009226959999999451,0.01076607999999979,,0.006735919999993456,0.01062616000000105,0.01062616000000105,
Trondheim/audio/04,,0.006249120000006769,0.005850240000000895,0.0031910400000043637,,0.004653600000004587,0.0006358400000010533,0.008642399999999384,,,,0.005850240000000895,0.008642399999999384,,0.004653600000004587,0.00717983999999916,0.00717983999999916,
Trondheim/audio/05,,0.007493679999988956,0.007015359999996917,0.003826559999993151,,0.00558039999999238,0.0005923200000097495,0.01036359999999803,,,,0.007015359999996917,0.01036359999999803,,0.00558039999999238,0.0086097599999988,0.0086097599999988,
Trondheim/audio/06,,0.006907120000015254,0.006466240000008838,0.0035270400000086966,,0.005143600000010906,0.000584639999999581,0.009552400000011119,,,,0.006466240000008838,0.009552400000011119,,0.005143600000010906,0.007935840000008909,0.007935840000008909,
Trondheim/audio/07,,0.00726055999998465,0.006797119999987444,0.0037075199999918595,,0.005406799999988721,0.0005744000000049709,0.010041199999982098,,,,0.006797119999987444,0.010041199999982098,,0.005406799999988721,0.008341919999985237,0.008341919999985237,
Trondheim/audio/08,,0.008672400000016012,0.006937920000012809,0.003784320000008279,,0.0072532800000146835,0.0005260799999859955,0.010249200000018277,,,,0.006937920000012809,0.010249200000018277,,0.0072532800000146835,0.008514720000015075,0.008514720000015075,
Trondheim/audio/09,,0.008505200000001878,0.006804160000001502,0.0037113599999969438,,0.007113439999997695,0.0005257599999879403,0.010051600000004157,,,,0.006804160000001502,0.010051600000004157,,0.007113439999997695,0.008350560000003782,0.008350560000003782,
Trondheim/audio/10,,0.005876880000016627,0.005501760000015565,0.00300096000000849,,0.0043764000000123815,0.0005849599999976363,0.008127600000022994,,,,0.005501760000015565,0.008127600000022994,,0.0043764000000123815,0.006752160000019103,0.006752160000019103,
Trondheim/video,0.006801600000009955,0.006670800000009081,0.00549360000001009,0.006147600000005582,,0.005232000000008341,0.003662400000006727,0.007978800000008945,,,,0.00549360000001009,0.007978800000008945,,0.005232000000008341,0.006670800000009081,0.006670800000009081,
Trondheim/video/01,0.007710960000000711,0.005783680000000402,0.006417360000000372,0.003507840000001039,,0.004025279999998688,0.000553279999998324,0.009133920000001794,,,,0.006417360000000372,0.009242159999999444,,0.004025279999998688,0.007710960000000711,0.007710960000000711,
Trondheim/video/02,0.008993999999999502,0.0070647999999966515,0.0077003999999991635,0.0048365600000011,,0.005306399999994937,0.0006885599999986169,0.008984399999999226,0.011552399999999352,,0.008984399999999226,0.0077003999999991635,0.0091127999999987,,0.005306399999994937,0.008993999999999502,0.008993999999999502,0.01026839999999929
Trondheim/video/03,0.010449840000001487,0.008461119999999767,0.009079440000000716,0.006345200000000162,0.1266134399999963,0.0067027199999980525,0.0008928000000025804,0.011957280000002513,,0.12540303999999658,0.011957280000002513,0.009079440000000716,0.010586880000001742,0.1132990399999958,0.0067027199999980525,0.010449840000001487,0.010449840000001487,
Trondheim/video/04,,0.006354400000008198,0.0059488000000058605,0.0032448000000044885,,0.004732000000005954,0.0005593599999969001,0.008788000000008012,,,,0.0059488000000058605,0.008788000000008012,,0.004732000000005954,0.0073008000000065465,0.0073008000000065465,
Trondheim/video/05,,0.007196639999996535,0.006737279999995849,0.0036748799999983817,,0.005359199999997344,0.0005660799999986921,0.009952799999993545,,,,0.006737279999995849,0.009952799999993545,,0.005359199999997344,0.008268479999994582,0.008268479999994582,
Trondheim/video/06,,0.006809359999998321,0.006374719999996614,0.003477119999999445,,0.005070799999998599,0.0006236800000039011,0.009417199999994352,,,,0.006374719999996614,0.009417199999994352,,0.005070799999998599,0.007823519999995199,0.007823519999995199,
Trondheim/video/07,,0.006512319999995242,0.006096639999995546,0.0033254399999975703,,0.004849599999996457,0.0005407999999960111,0.00900639999999342,,,,0.006096639999995546,0.00900639999999342,,0.004849599999996457,0.007482239999994533,0.007482239999994533,
Trondheim/video/08,,0.005662559999997541,0.005301119999998605,0.002891519999998593,,0.004216799999998244,0.000537280000003193,0.007831199999998262,,,,0.005301119999998605,0.007831199999998262,,0.004216799999998244,0.006505919999998611,0.006505919999998611,
Trondheim/video/09,,0.0065612000000037085,0.006142400000001658,0.003350400000002196,,0.0048860000000026105,0.0005750400000010814,0.009074000000001803,,,,0.006142400000001658,0.009074000000001803,,0.0048860000000026105,0.0075384000000013884,0.0075384000000013884,
Trondheim/video/10,,0.006820640000000822,0.00638528000000349,0.003482879999999966,,0.005079200000000839,0.000545599999995261,0.009432800000006125,,,,0.00638528000000349,0.009432800000006125,,0.005079200000000839,0.007836480000005253,0.007836480000005253,
